dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
2,0,5,9,1,1,4,1,2.0,49,0.0,0,0.909090909,0.75,1,1,23.5,1,0.5,True,Accuracy_Voting_Pred,False,0.3530721252865713
1,0,1,3,3,1,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.012715304470691366
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.10729378715143406
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,Accuracy_Voting_Pred,False,0.02163799944921281
1,0,10,23,253,2,8,23,2.0,23,0.0,0,0.0,0.255434783,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.2363923793088049
1,0,3,18,26,3,0,13,0.75,134,1.0,0,0.0,0.512820513,0,0,8.923076923,1,0.8462,False,Accuracy_Voting_Pred,False,0.02300085937585064
1,0,8,45,0,4,5,10,0.651515152,234,1.0,1,0.0,0.309090909,0,0,18.0,3,1.5833,True,Accuracy_Voting_Pred,False,0.0378480590731925
1,0,23,48,274,22,1,23,0.8769841270000001,459,1.0,0,0.0,0.310344828,0,0,14.51724138,3,1.1724,False,Accuracy_Voting_Pred,False,0.2495602668274541
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,Accuracy_Voting_Pred,False,0.016527770748099392
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.10729378715143406
2,0,7,6,1,6,1,2,2.0,16,0.0,0,0.923076923,1.0,0,0,7.0,1,0.5,False,Accuracy_Voting_Pred,False,0.006387309382788864
1,0,16,53,8,1,15,2,1.232758621,364,1.0,0,0.0,0.52,0,0,66.0,8,3.2,False,Accuracy_Voting_Pred,False,0.3751371977990536
1,0,59,45,221,55,5,27,0.91958042,333,0.727272727,3,0.0,0.16296296300000002,1,1,10.92592593,7,1.2963,False,Accuracy_Voting_Pred,False,0.3430286817342589
1,15,17,5,1,15,2,3,0.5,17,1.0,0,0.0,0.666666667,0,0,4.333333333,1,0.6667,False,Accuracy_Voting_Pred,False,0.01936030019265695
1,0,23,94,126,0,23,11,0.885964912,771,1.0,5,0.0,0.20242915,0,0,37.25,9,2.5,True,Accuracy_Voting_Pred,False,0.35680864133895857
1,0,25,41,3,16,9,3,0.666666667,261,1.0,1,0.0,0.333333333,0,0,35.71428571,4,1.5714,False,Accuracy_Voting_Pred,False,0.04631760160419609
2,0,5,9,1,1,4,1,2.0,69,1.0,0,0.909090909,0.75,2,2,32.0,7,3.5,False,Accuracy_Voting_Pred,False,0.035903895783015304
2,0,23,61,6,1,22,2,0.761904762,413,1.0,1,0.7307692309999999,0.3,1,3,49.875,6,2.375,True,Accuracy_Voting_Pred,False,0.2836296254631924
1,0,4,1,0,2,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.013950377158745596
1,0,3,7,1,2,1,1,2.0,32,0.0,0,0.0,0.5,0,0,15.0,2,1.0,False,Accuracy_Voting_Pred,False,0.3568521832755031
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,Accuracy_Voting_Pred,False,0.016527770748099392
1,0,6,18,21,3,3,10,0.666666667,174,1.0,0,0.0,0.533333333,0,0,16.0,19,2.7,False,Accuracy_Voting_Pred,False,0.02403550064875842
1,0,8,5,10,3,5,5,2.0,5,0.0,0,0.0,0.433333333,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.031067747320401407
1,0,4,14,0,1,3,2,0.0,78,1.0,0,0.0,0.666666667,0,0,37.5,3,1.5,False,Accuracy_Voting_Pred,False,0.021990646297494167
1,0,18,17,16,16,2,9,0.525,112,1.0,1,0.0,0.472222222,0,0,10.88888889,2,0.7778,False,Accuracy_Voting_Pred,False,0.025019883365663475
2,0,10,9,9,10,0,4,0.857142857,91,0.428571429,5,0.764705882,0.4,1,1,13.0,1,0.6667,False,Accuracy_Voting_Pred,False,0.04812600781175611
1,0,15,50,68,0,15,12,0.816666667,365,1.0,7,0.0,0.2,0,0,21.3125,4,1.4375,False,Accuracy_Voting_Pred,False,0.2926247447148139
2,0,11,43,1,0,11,2,1.0,243,1.0,1,0.75,0.44,2,2,37.83333333,4,1.8333,False,Accuracy_Voting_Pred,False,0.11810192664973689
2,0,31,8,6,30,1,3,0.875,79,0.333333333,5,0.8125,0.4166666670000001,1,1,13.6,1,0.6,False,Accuracy_Voting_Pred,False,0.042020865033500936
1,0,1,14,21,0,1,10,0.740740741,109,1.0,1,0.0,0.32,1,1,9.6,7,1.5,False,Accuracy_Voting_Pred,False,0.24104363699410605
1,0,0,2,0,0,0,1,2.0,7,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,Accuracy_Voting_Pred,False,0.059739417635579
1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,0.875,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.014495135928828689
2,0,7,17,91,0,7,14,2.0,54,0.0,0,0.566666667,1.0,1,4,2.857142857,1,0.9286,False,Accuracy_Voting_Pred,False,0.05353191856681907
1,0,5,41,0,2,4,14,0.775,254,0.75,1,0.0,0.257142857,0,0,14.375,3,1.5625,True,Accuracy_Voting_Pred,False,0.03824760443157516
1,0,12,11,55,7,5,11,2.0,11,0.0,0,0.0,0.33766233799999995,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.3723831265737581
1,15,20,10,11,15,5,5,0.7777777779999999,39,1.0,2,0.0,0.476190476,0,0,4.1428571430000005,1,0.8571,False,Accuracy_Voting_Pred,False,0.029424114258059183
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.10729378715143406
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,Accuracy_Voting_Pred,False,0.02163799944921281
1,0,15,42,16,0,15,10,0.757575758,354,1.0,5,0.0,0.242424242,0,0,28.0,4,1.5,False,Accuracy_Voting_Pred,False,0.16239319898127716
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,Accuracy_Voting_Pred,False,0.02163799944921281
1,0,17,60,10,1,16,2,0.732142857,495,1.0,3,0.0,0.2875,0,0,59.875,3,1.25,False,Accuracy_Voting_Pred,False,0.4362117339106541
1,0,0,10,1,0,0,2,2.0,45,0.0,0,0.0,0.5,0,0,21.5,4,2.0,False,Accuracy_Voting_Pred,False,0.023702678436803005
1,6,39,76,182,8,31,4,0.95625,495,1.0,4,0.0,0.111111111,0,0,21.80952381,2,1.0952,False,Accuracy_Voting_Pred,False,0.4579156285776971
4,2,11,8,8,11,0,4,1.0,26,1.0,0,0.894736842,0.6,0,0,3.8,1,0.4,False,Accuracy_Voting_Pred,False,0.009145494302017264
4,0,15,43,0,1,14,2,0.666666667,402,1.0,0,0.996168582,0.5555555560000001,2,3,198.5,17,8.5,False,Accuracy_Voting_Pred,False,0.060045501120615435
2,0,5,9,1,1,4,1,2.0,29,0.0,0,0.909090909,0.75,1,2,13.5,1,0.5,False,Accuracy_Voting_Pred,False,0.02163799944921281
1,0,3,9,1,0,3,1,1.0,26,0.0,1,0.0,1.0,0,0,11.5,0,0.0,False,Accuracy_Voting_Pred,False,0.013710808964103736
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.10729378715143406
1,0,0,8,0,0,0,4,0.333333333,23,1.0,0,0.0,0.625,0,0,4.5,1,0.75,False,Accuracy_Voting_Pred,False,0.018667364033730784
2,0,8,14,3,1,7,3,2.0,54,0.0,0,0.75,0.5555555560000001,0,0,17.0,2,1.0,False,Accuracy_Voting_Pred,False,0.016527770748099392
2,0,9,19,78,0,9,13,2.0,57,0.0,0,0.5862068970000001,1.0,1,3,3.384615385,1,0.9231,False,Accuracy_Voting_Pred,False,0.1763752948565408
1,0,20,65,88,0,20,9,0.857142857,367,1.0,6,0.0,0.158974359,0,0,21.5,5,1.4375,False,Accuracy_Voting_Pred,False,0.33720342901048994
1,0,7,13,10,7,0,7,0.8,75,1.0,0,0.0,0.34375,0,0,7.75,2,0.875,True,Accuracy_Voting_Pred,False,0.026869758514949885
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.10729378715143406
1,0,0,2,0,0,0,1,2.0,77,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,Accuracy_Voting_Pred,False,0.059739417635579
5,0,16,6,3,15,1,2,1.5,16,1.0,0,1.0,0.666666667,0,0,4.0,0,0.0,False,Accuracy_Voting_Pred,False,0.00800162451670435
2,0,7,17,21,1,7,7,2.0,73,0.0,0,0.25,0.428571429,0,0,9.428571429,2,1.0,False,Accuracy_Voting_Pred,False,0.030464651281717693
1,0,14,46,260,10,4,28,0.89010989,443,1.0,3,0.0,0.183908046,1,1,13.82758621,8,1.4138,False,Accuracy_Voting_Pred,True,0.7210126551640511
2,0,9,14,3,2,7,3,2.0,67,0.0,0,0.75,0.5555555560000001,0,0,21.33333333,3,1.3333,False,Accuracy_Voting_Pred,False,0.017050037851545536
1,0,9,28,4,1,9,2,1.274509804,223,1.0,0,0.0,0.5,0,0,50.5,5,1.75,False,Accuracy_Voting_Pred,False,0.03753914313669417
2,0,8,15,3,1,7,3,2.0,63,0.0,0,0.75,0.5,0,0,20.0,2,1.0,False,Accuracy_Voting_Pred,False,0.017563520414138698
1,0,8,11,55,3,5,11,2.0,11,0.0,0,0.0,0.348484848,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.0386063979652784
1,0,0,2,0,0,0,1,2.0,38,0.0,0,0.0,1.0,0,0,3.0,0,0.0,True,Accuracy_Voting_Pred,False,0.059739417635579
1,0,2,12,31,2,0,10,0.86,64,1.0,0,0.0,0.681818182,0,0,4.363636364,1,0.8182,False,Accuracy_Voting_Pred,False,0.019140937327880032
2,0,32,14,11,31,1,4,0.857142857,129,0.28571428600000004,6,0.764705882,0.4,1,1,19.33333333,3,1.0,True,Accuracy_Voting_Pred,False,0.0876000654849835
1,0,21,35,95,17,5,17,0.909090909,235,1.0,3,0.0,0.180555556,1,1,11.44444444,7,1.3889,False,Accuracy_Voting_Pred,False,0.1584049594516562
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.07135710678375343
2,0,7,14,3,1,6,3,2.0,46,0.0,0,0.75,0.5,0,0,14.33333333,1,0.6667,False,Accuracy_Voting_Pred,False,0.02106055314445082
2,0,13,39,9,0,13,1,1.0625,366,1.0,4,0.705882353,0.533333333,1,1,47.85714286,4,1.5714,False,Accuracy_Voting_Pred,False,0.10281001371190984
1,0,18,49,51,1,17,4,1.076923077,350,1.0,1,0.0,0.4,0,0,28.45454545,3,1.4545,True,Accuracy_Voting_Pred,False,0.4282265696138192
1,0,40,60,492,38,6,25,0.8402777779999999,441,1.0,2,0.0,0.148648649,1,1,10.702702699999998,7,1.4865,True,Accuracy_Voting_Pred,True,0.6153744929715557
1,0,3,14,0,3,0,9,0.694444444,164,1.0,0,0.0,0.5,1,1,15.0,13,2.3,True,Accuracy_Voting_Pred,False,0.05110851744826064
4,0,13,49,276,0,13,24,1.043478261,189,1.0,0,0.629032258,0.25,0,0,6.833333333,1,0.9583,False,Accuracy_Voting_Pred,False,0.27903090293284194
1,0,6,15,0,1,5,3,0.666666667,68,1.0,1,0.0,0.5555555560000001,0,0,15.25,3,1.0,False,Accuracy_Voting_Pred,False,0.029109561012875887
2,0,4,10,1,0,4,2,2.0,30,0.0,0,0.666666667,0.75,0,0,14.0,2,1.0,False,Accuracy_Voting_Pred,False,0.014239118416162138
2,0,4,14,11,3,1,4,0.875,141,0.25,7,0.764705882,0.4,1,1,21.16666667,3,1.0,False,Accuracy_Voting_Pred,False,0.15673642312717065
2,0,8,14,3,1,7,3,2.0,52,0.0,0,0.75,0.5555555560000001,0,0,16.33333333,2,1.0,False,Accuracy_Voting_Pred,False,0.02114183827969197
2,0,5,13,1,1,4,1,2.0,76,0.0,0,0.909090909,0.75,2,2,37.0,5,2.5,False,Accuracy_Voting_Pred,False,0.03819643968431547
1,0,8,5,10,7,1,5,2.0,5,0.0,0,0.0,0.44,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.030209926220849795
2,0,9,19,78,0,9,13,2.0,81,0.0,0,0.5862068970000001,1.0,1,3,5.230769231,1,0.9231,True,Accuracy_Voting_Pred,False,0.02475621218318732
2,0,7,25,2,1,7,1,1.142857143,91,1.0,1,0.857142857,0.4166666670000001,1,1,20.0,1,0.5,False,Accuracy_Voting_Pred,False,0.04274983470071216
2,0,8,14,3,1,7,3,2.0,103,0.0,0,0.75,0.5555555560000001,0,0,33.33333333,5,2.0,False,Accuracy_Voting_Pred,False,0.02186147601789874
1,0,28,4,6,25,3,4,2.0,4,0.0,0,0.0,0.7,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.02057496705996952
2,0,8,12,1,0,8,2,1.0,59,1.0,0,0.833333333,1.0,0,0,25.0,1,0.5,False,Accuracy_Voting_Pred,False,0.010344114012361997
1,0,5,17,0,0,5,3,0.5,94,1.0,0,0.0,0.666666667,0,0,29.66666667,1,0.6667,False,Accuracy_Voting_Pred,False,0.022275399394121168
1,0,9,6,15,7,2,6,2.0,6,0.0,0,0.0,0.466666667,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.02996410865430092
1,0,7,5,10,5,2,5,2.0,5,0.0,0,0.0,0.44,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.03103710316095648
1,0,4,5,0,4,0,3,0.833333333,22,1.0,0,0.0,0.75,0,0,4.0,1,0.5,False,Accuracy_Voting_Pred,False,0.01604592147541703
2,0,2,14,11,1,1,4,0.666666667,81,0.666666667,2,0.764705882,0.4,1,1,12.0,3,1.0,False,Accuracy_Voting_Pred,False,0.04768338190254324
1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.011685428656103216
1,0,2,13,3,2,0,1,2.0,90,0.0,0,0.0,0.444444444,0,0,29.0,6,2.6667,False,Accuracy_Voting_Pred,False,0.02697276915047388
2,0,12,25,66,6,12,12,2.0,110,0.0,0,0.153846154,0.297619048,0,0,8.166666667000001,1,0.9167,True,Accuracy_Voting_Pred,False,0.3957786051009699
2,0,10,20,36,4,10,9,2.0,77,0.0,0,0.2,0.301587302,0,0,7.555555556,1,0.8889,False,Accuracy_Voting_Pred,False,0.049912682071221334
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,Accuracy_Voting_Pred,False,0.02114183827969197
1,0,27,62,457,25,6,28,0.844594595,454,1.0,2,0.0,0.15,1,1,10.73684211,7,1.4737,False,Accuracy_Voting_Pred,True,0.6105233061850567
1,0,3,13,4,3,0,9,0.625,90,1.0,0,0.0,0.7222222220000001,0,0,8.666666667000001,1,0.7778,False,Accuracy_Voting_Pred,False,0.017464226224127855
1,0,0,2,0,0,0,1,2.0,32,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,Accuracy_Voting_Pred,False,0.08501586490940316
1,0,7,16,6,7,0,8,0.708333333,104,1.0,0,0.0,0.311111111,1,1,10.22222222,5,1.2222,False,Accuracy_Voting_Pred,False,0.07165394258659638
2,0,8,19,91,0,8,14,2.0,86,0.0,0,0.566666667,1.0,1,4,5.1428571430000005,1,0.9286,False,Accuracy_Voting_Pred,False,0.02412236562331936
1,0,36,16,40,36,0,10,0.818181818,119,0.75,0,0.0,0.3,1,1,8.583333332999999,7,1.4167,False,Accuracy_Voting_Pred,False,0.245838531768042
2,0,9,19,78,0,9,13,2.0,81,0.0,0,0.5862068970000001,1.0,1,3,5.230769231,1,0.9231,True,Accuracy_Voting_Pred,False,0.02475621218318732
1,0,17,50,18,12,7,7,0.727272727,253,1.0,0,0.0,0.327272727,0,0,19.75,5,1.5833,False,Accuracy_Voting_Pred,False,0.21421268637977292
1,0,8,21,0,1,7,2,1.0,168,1.0,1,0.0,0.4,0,0,39.0,3,1.5,False,Accuracy_Voting_Pred,False,0.043805419698356635
1,0,2,7,3,2,0,5,0.8,35,1.0,0,0.0,0.5555555560000001,0,0,4.333333333,1,0.6667,False,Accuracy_Voting_Pred,False,0.022628583030116757
2,0,3,8,6,0,3,4,2.0,22,0.0,0,0.4,1.0,0,0,4.5,1,0.75,False,Accuracy_Voting_Pred,False,0.010568203803409813
1,0,13,33,13,0,13,4,1.0,226,0.9,1,0.0,0.425,0,0,18.63636364,1,0.8182,False,Accuracy_Voting_Pred,False,0.05293829608199231
2,0,18,41,7,1,17,2,0.666666667,216,1.0,0,0.791666667,0.3666666670000001,1,3,34.5,5,2.3333,False,Accuracy_Voting_Pred,False,0.10991328309069076
1,0,6,34,36,5,1,7,0.727272727,342,1.0,0,0.0,0.464285714,0,0,27.16666667,4,1.8333,False,Accuracy_Voting_Pred,False,0.03239078271435633
1,0,34,141,383,0,34,32,0.892156863,684,1.0,8,0.0,0.111111111,0,0,18.28571429,6,1.3714,True,Accuracy_Voting_Pred,True,0.8131757667923546
2,0,10,42,2,0,10,1,1.125,262,1.0,1,0.8,0.5625,1,1,49.0,6,1.6,True,Accuracy_Voting_Pred,False,0.04870194419274904
2,0,11,17,21,4,11,7,2.0,80,0.0,0,0.25,0.30952381,0,0,10.42857143,1,0.8571,False,Accuracy_Voting_Pred,False,0.049341326511073945
1,0,9,11,55,7,2,11,2.0,11,0.0,0,0.0,0.311688312,0,0,0.0,1,1.0,True,Accuracy_Voting_Pred,False,0.374376628265125
1,0,7,33,11,1,6,3,1.085714286,169,1.0,0,0.0,0.6,0,0,26.0,5,1.6667,False,Accuracy_Voting_Pred,False,0.02886543567231437
1,0,21,43,20,0,21,8,0.854166667,252,1.0,5,0.0,0.204545455,0,0,26.33333333,5,1.5556,False,Accuracy_Voting_Pred,False,0.2872501034262861
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.07135710678375343
3,0,3,19,1,0,3,2,2.0,91,1.0,0,0.961538462,1.0,1,2,44.0,5,2.5,False,Accuracy_Voting_Pred,False,0.013980425260178809
2,0,5,9,6,0,5,4,2.0,38,0.0,0,0.4,0.4,0,0,8.5,1,0.75,False,Accuracy_Voting_Pred,False,0.02918137152519111
5,0,9,6,3,8,1,2,1.5,16,1.0,0,1.0,0.666666667,0,0,4.0,0,0.0,False,Accuracy_Voting_Pred,False,0.011149402867801106
1,0,11,37,0,1,10,2,0.5,234,1.0,2,0.0,0.3666666670000001,0,0,45.0,4,2.2,False,Accuracy_Voting_Pred,False,0.056284802856604914
1,0,22,27,76,21,2,15,0.783333333,171,1.0,2,0.0,0.260416667,1,1,9.4375,7,1.4375,False,Accuracy_Voting_Pred,False,0.44665872907414017
1,0,6,14,2,6,0,7,0.7857142859999999,99,1.0,0,0.0,0.3,1,1,10.875,5,1.25,False,Accuracy_Voting_Pred,False,0.07282541524618022
1,0,3,7,6,3,0,4,2.0,17,0.0,0,0.0,1.0,0,0,3.25,1,0.75,False,Accuracy_Voting_Pred,False,0.011288923096903911
1,0,6,2,1,4,2,2,2.0,2,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.02417416921744892
2,0,12,31,2,0,12,1,1.0,179,1.0,3,0.857142857,0.583333333,1,1,41.0,4,1.25,False,Accuracy_Voting_Pred,False,0.05960766120980353
1,0,2,15,37,1,1,11,0.85,109,1.0,1,0.0,0.242424242,1,1,8.545454545,7,1.5455,False,Accuracy_Voting_Pred,False,0.0923497809762942
2,0,20,52,18,1,19,2,0.7857142859999999,360,1.0,0,0.7307692309999999,0.325,1,3,43.5,6,2.5,False,Accuracy_Voting_Pred,False,0.1429103244062693
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,Accuracy_Voting_Pred,False,0.07135710678375343
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,Accuracy_Voting_Pred,False,0.02164495289479761
2,0,4,5,1,1,3,1,2.0,11,0.0,0,0.909090909,0.75,1,1,4.5,1,0.5,False,Accuracy_Voting_Pred,False,0.021024380810809533
1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,Accuracy_Voting_Pred,False,0.011685428656103216
